id,referrer_user_id,referree_user_id,created_at,deleted_at
177,741,821,2022-02-26,
178,1590,749,2022-02-25,
179,530,2098,2022-02-28,
180,623,2171,2022-02-26,
181,625,574,2022-03-02,
182,2648,418,2022-02-23,
183,2926,2170,2022-03-01,
184,52,1996,2022-02-26,
185,1378,1502,2022-03-02,
186,2696,2765,2022-02-28,
187,1452,280,2022-03-01,
188,2268,445,2022-02-23,
189,1573,620,2022-02-27,
190,2968,2653,2022-02-24,
191,1442,1195,2022-03-01,
192,480,1508,2022-02-28,
193,2174,2401,2022-02-24,
194,1711,1982,2022-03-02,
195,1502,2457,2022-02-28,
196,1980,1418,2022-02-25,
197,1416,2604,2022-02-25,
198,1270,196,2022-02-25,
199,2425,853,2022-02-23,
200,1532,233,2022-03-02,
201,2223,1662,2022-02-26,
202,2150,707,2022-03-01,
203,1178,2244,2022-03-01,
204,816,1452,2022-02-24,
205,1315,291,2022-02-26,
206,397,2170,2022-02-22,
207,158,921,2022-02-28,
208,2343,2865,2022-02-22,
209,2425,2499,2022-02-22,
210,405,1779,2022-02-26,
211,48,2116,2022-02-22,
212,1366,2169,2022-02-22,
213,374,367,2022-02-21,
214,2787,893,2022-02-28,
215,1015,2633,2022-03-01,
216,1712,1469,2022-03-02,
217,1074,698,2022-02-25,
218,1079,623,2022-02-23,
219,1933,2416,2022-03-01,
220,2312,1968,2022-02-24,
221,1532,2065,2022-02-26,
222,1822,2244,2022-03-02,
223,2161,2814,2022-02-28,
224,674,2977,2022-02-28,
225,647,2295,2022-03-02,
226,2103,892,2022-02-22,
227,2578,1774,2022-03-02,
228,2337,1331,2022-02-27,
229,2413,584,2022-02-22,
230,2038,2510,2022-02-22,
231,141,2511,2022-02-27,
232,495,413,2022-02-24,
233,2457,340,2022-02-21,
234,688,1628,2022-02-26,
235,2739,519,2022-02-24,
236,2478,1732,2022-02-22,
237,452,849,2022-02-28,
238,2623,2143,2022-02-24,
239,198,821,2022-02-23,
240,2443,802,2022-02-25,
241,2355,2447,2022-02-24,
242,2719,1224,2022-02-21,
243,537,674,2022-02-22,
244,163,2787,2022-02-27,
245,750,2596,2022-03-02,
246,2115,2481,2022-03-02,
247,1587,1290,2022-02-24,
248,1410,2736,2022-02-28,
249,2009,824,2022-02-26,
250,2831,1116,2022-03-02,
251,2450,896,2022-03-02,
252,541,2159,2022-02-21,
253,1360,322,2022-03-01,
254,2885,2450,2022-02-21,
255,1301,867,2022-02-23,
256,764,1541,2022-02-27,
257,598,522,2022-02-24,
258,2504,1706,2022-02-25,
259,1502,728,2022-02-21,
260,2024,2713,2022-02-27,
261,770,2143,2022-02-27,
262,552,1177,2022-02-28,
263,1224,218,2022-03-01,
264,1642,2431,2022-02-24,
265,2648,1063,2022-03-01,
266,531,1611,2022-02-21,
267,2152,897,2022-02-26,
268,1300,979,2022-02-25,
269,805,703,2022-03-02,
270,1537,2190,2022-02-25,
271,2303,2767,2022-02-24,
272,2098,348,2022-02-26,
273,818,897,2022-02-26,
274,2676,1074,2022-02-23,
275,52,2524,2022-02-25,
276,979,1701,2022-03-01,
277,1306,1625,2022-02-28,
278,2450,1537,2022-02-21,
279,2604,233,2022-02-24,
280,405,172,2022-02-26,
281,728,536,2022-02-25,
282,1370,1947,2022-02-23,
283,2573,342,2022-02-27,
284,2375,402,2022-03-01,
285,1603,1487,2022-03-01,
286,2963,144,2022-03-02,
287,1717,1972,2022-02-24,
288,1671,92,2022-02-25,
289,92,657,2022-02-26,
290,401,1626,2022-02-28,
291,207,536,2022-02-23,
292,1378,1732,2022-02-28,
293,1287,649,2022-02-24,
294,2469,1820,2022-03-02,
295,791,1901,2022-03-02,
296,1469,2568,2022-03-01,
297,2174,1934,2022-03-01,
298,452,1304,2022-02-24,
299,401,2713,2022-02-28,
300,2608,880,2022-02-25,
301,1968,2739,2022-02-27,
302,2116,2855,2022-03-02,
303,874,853,2022-02-21,
304,2567,2290,2022-02-22,
305,1244,2942,2022-02-25,
306,466,2311,2022-02-24,
307,1422,430,2022-02-23,
308,820,107,2022-03-02,
309,1331,1112,2022-03-01,
310,1277,1976,2022-03-02,
311,1008,1846,2022-02-27,
312,2700,576,2022-02-26,
313,395,552,2022-02-21,
314,2898,15,2022-02-27,
315,2736,1981,2022-02-25,
316,698,2295,2022-02-28,
317,1914,1508,2022-02-28,
318,2103,1508,2022-02-26,
319,781,1025,2022-02-28,
320,2250,553,2022-02-21,
321,2739,1699,2022-02-26,
322,954,1306,2022-02-22,
323,2944,2375,2022-02-27,
324,430,2602,2022-02-26,
325,703,516,2022-02-23,
326,2510,2341,2022-02-28,
327,420,52,2022-02-22,
328,2504,207,2022-02-23,
329,1808,2190,2022-02-27,
330,1127,2924,2022-02-23,
331,144,1574,2022-02-24,
332,2739,1602,2022-02-28,
333,586,2322,2022-03-02,
334,853,2431,2022-02-22,
335,2237,2987,2022-02-28,
336,954,96,2022-02-25,
337,457,2573,2022-03-02,
338,1804,1971,2022-03-01,
339,705,814,2022-02-21,
340,1972,2920,2022-03-02,
341,409,209,2022-03-02,
342,1636,754,2022-02-25,
343,207,1495,2022-02-27,
344,1564,2514,2022-03-02,
345,2236,2236,2022-02-21,
346,597,1227,2022-02-25,
347,2043,770,2022-02-21,
348,1568,13,2022-02-27,
349,893,1332,2022-02-23,
350,2868,429,2022-02-24,
351,2567,476,2022-02-26,
352,1870,2171,2022-02-27,
353,1301,491,2022-02-28,
354,2019,2251,2022-02-23,
355,2311,2735,2022-02-22,
356,760,1983,2022-02-26,
357,2822,2333,2022-02-26,
358,52,1926,2022-03-01,
359,2622,345,2022-02-24,
360,698,2735,2022-02-28,
361,849,880,2022-02-22,
362,486,880,2022-02-27,
363,359,770,2022-03-01,
364,359,359,2022-02-22,
365,2162,803,2022-02-25,
366,291,2846,2022-02-26,
367,818,873,2022-02-26,
368,379,2767,2022-02-22,
369,1130,2722,2022-02-28,
370,1348,1206,2022-02-21,
371,899,1541,2022-02-21,
372,2997,334,2022-02-23,
373,519,2761,2022-02-28,
374,769,1210,2022-02-28,
375,1139,1277,2022-02-22,
376,2507,1375,2022-02-24,
377,1365,2498,2022-02-27,
378,1116,1183,2022-02-24,
379,1478,2754,2022-02-28,
380,522,2604,2022-02-25,
381,1442,215,2022-02-21,
382,586,2824,2022-02-24,
383,972,2343,2022-02-22,
384,2567,2868,2022-02-23,
385,2019,158,2022-02-25,
386,1983,873,2022-02-21,
387,2593,2877,2022-02-21,
388,769,1147,2022-02-23,
389,1532,2148,2022-02-25,
390,2170,2375,2022-02-23,
391,1201,2199,2022-02-22,
392,1738,849,2022-02-22,
393,553,2605,2022-02-21,
394,616,1417,2022-02-21,
395,2742,348,2022-03-01,
396,482,303,2022-03-02,
397,422,1109,2022-02-25,
398,1662,518,2022-03-01,
399,723,675,2022-02-25,
400,2888,2162,2022-02-23,
401,107,819,2022-03-01,
402,452,781,2022-02-21,
403,2736,1316,2022-03-01,
404,2080,348,2022-02-27,
405,1944,2977,2022-02-24,
406,2461,2021,2022-02-22,
407,1938,528,2022-03-02,
408,2291,429,2022-03-02,
409,821,1483,2022-03-01,
410,2903,804,2022-02-24,
411,455,1152,2022-02-27,
412,397,1521,2022-02-21,
413,1966,2425,2022-02-26,
414,2761,2942,2022-02-23,
415,703,1398,2022-02-27,
416,253,606,2022-03-01,
417,1227,868,2022-02-27,
418,1681,925,2022-03-01,
419,518,756,2022-02-23,
420,2490,1378,2022-02-21,
421,298,641,2022-03-02,
422,1971,470,2022-02-28,
423,1582,413,2022-03-01,
424,741,1537,2022-02-25,
425,2767,113,2022-02-22,
426,2190,547,2022-02-27,
427,2205,180,2022-02-22,
428,1354,625,2022-02-22,
429,666,1864,2022-03-01,
430,1301,382,2022-03-02,
431,2295,373,2022-02-25,
432,2859,673,2022-02-22,
433,345,1332,2022-02-27,
434,1436,2274,2022-02-27,
435,1227,2924,2022-02-25,
436,552,1244,2022-02-26,
437,630,1365,2022-02-27,
438,2105,2024,2022-03-02,
439,541,2855,2022-02-23,
440,2481,1894,2022-02-24,
441,2114,144,2022-03-01,
442,1968,2787,2022-02-22,
443,2735,2311,2022-02-22,
444,1403,1386,2022-03-01,
445,791,1968,2022-02-26,
446,2080,13,2022-02-23,
447,1017,348,2022-03-02,
448,1821,2311,2022-02-23,
449,348,1386,2022-02-28,
450,653,1214,2022-02-22,
451,1986,2924,2022-02-26,
452,1079,2490,2022-02-25,
453,749,2043,2022-03-01,
454,2839,671,2022-03-02,
455,1507,820,2022-02-22,
456,1125,381,2022-03-01,
457,705,2830,2022-02-25,
458,441,1508,2022-03-01,
459,457,2194,2022-02-22,
460,522,1418,2022-02-21,
461,2191,2425,2022-03-01,
462,2652,1181,2022-02-23,
463,649,820,2022-02-27,
464,950,2752,2022-02-21,
465,2481,1903,2022-02-25,
466,899,144,2022-02-27,
467,1611,755,2022-03-02,
468,342,2223,2022-02-22,
469,230,1505,2022-02-25,
470,606,2043,2022-02-22,
471,1923,2251,2022-02-26,
472,1655,1913,2022-02-27,
473,1429,1648,2022-02-26,
474,750,215,2022-02-23,
475,1625,196,2022-02-27,
476,1109,490,2022-02-26,
477,553,1962,2022-02-21,
478,359,397,2022-02-21,
479,13,1462,2022-02-24,
480,598,1870,2022-02-27,
481,853,1493,2022-02-25,
482,2111,939,2022-03-01,
483,2822,1753,2022-02-24,
484,2622,482,2022-02-27,
485,1219,2752,2022-03-02,
486,1262,816,2022-02-25,
487,266,1962,2022-02-23,
488,2337,1625,2022-03-01,
489,1393,1571,2022-02-28,
490,1139,814,2022-02-25,
491,1109,1244,2022-02-22,
492,387,802,2022-02-21,
493,455,1625,2022-02-21,
494,2736,2227,2022-03-02,
495,1344,1996,2022-02-28,
496,2596,1712,2022-02-21,
497,2133,1156,2022-03-01,
498,2301,1120,2022-03-01,
499,1178,2414,2022-02-24,
500,1214,1717,2022-02-26,
501,1505,2260,2022-02-24,
502,1262,476,2022-02-24,
503,1645,2190,2022-02-21,
504,230,1894,2022-02-27,
505,1590,821,2022-02-23,
506,1894,2926,2022-02-25,
507,641,220,2022-02-22,
508,2148,641,2022-02-25,
509,649,749,2022-03-01,
510,1681,939,2022-02-21,
511,2437,2116,2022-03-01,
512,2787,237,2022-03-01,
513,2612,2669,2022-03-01,
514,2516,1495,2022-02-27,
515,180,586,2022-02-21,
516,2043,2605,2022-02-26,
517,379,519,2022-02-27,
518,2379,698,2022-02-23,
519,491,1737,2022-02-23,
520,1363,2495,2022-03-02,
521,2343,1655,2022-02-23,
522,1215,688,2022-02-28,
523,1521,2274,2022-02-23,
524,96,1493,2022-02-27,
525,2822,1332,2022-02-23,
526,2722,2349,2022-03-01,
527,209,1258,2022-02-28,
528,2133,2495,2022-02-28,
529,879,1836,2022-03-01,
530,2431,2868,2022-02-22,
531,230,1015,2022-02-27,
532,2848,1017,2022-02-25,
533,1901,1270,2022-02-23,
534,298,2341,2022-02-26,
535,1968,420,2022-02-28,
536,1132,1626,2022-02-25,
537,552,298,2022-02-22,
538,2622,803,2022-02-21,
539,1756,741,2022-02-28,
540,438,2823,2022-03-02,
541,598,2793,2022-02-21,
542,1636,963,2022-02-28,
543,1416,1294,2022-02-27,
544,540,836,2022-03-02,
545,2696,2075,2022-02-22,
546,463,1306,2022-02-25,
547,1737,1625,2022-02-22,
548,422,2846,2022-02-22,
549,1262,2499,2022-02-26,
550,1587,2669,2022-02-24,
551,880,2290,2022-02-22,
552,707,167,2022-03-01,
553,647,366,2022-02-26,
554,1130,2301,2022-02-27,
555,885,1369,2022-02-24,
556,2710,2762,2022-02-27,
557,1820,2734,2022-03-02,
558,95,280,2022-02-22,
559,2443,1573,2022-02-25,
560,2295,367,2022-03-02,
561,1368,1109,2022-02-24,
562,1870,2830,2022-02-22,
563,1303,305,2022-02-22,
564,1452,1923,2022-02-22,
565,913,486,2022-02-23,
566,1690,414,2022-02-27,
567,1741,636,2022-02-21,
568,2414,1972,2022-02-23,
569,420,727,2022-02-25,
570,1200,2065,2022-03-01,
571,1120,127,2022-02-28,
572,1418,1744,2022-02-22,
573,1303,1680,2022-02-28,
574,1564,1738,2022-02-22,
575,2291,1443,2022-02-25,
576,2337,2375,2022-03-02,
577,373,819,2022-02-22,
578,2043,1711,2022-02-22,
579,2499,2413,2022-02-23,
580,814,2078,2022-03-02,
581,41,215,2022-02-26,
582,2593,5,2022-02-25,
583,2208,2105,2022-03-01,
584,2710,2518,2022-02-25,
585,480,621,2022-02-25,
586,2260,623,2022-02-27,
587,2941,2250,2022-02-22,
588,1418,1914,2022-02-28,
589,616,630,2022-02-27,
590,1088,1179,2022-02-24,
591,1968,2669,2022-02-26,
592,2111,1564,2022-02-25,
593,275,1360,2022-02-22,
594,1756,1147,2022-02-21,
595,354,1418,2022-02-26,
596,2702,671,2022-02-23,
597,2830,358,2022-02-25,
598,2574,1492,2022-02-25,
599,2341,1063,2022-02-21,
600,2942,2652,2022-02-26,
601,1219,2199,2022-02-27,
602,2414,1076,2022-02-28,
603,1231,803,2022-02-24,
604,641,1690,2022-02-22,
605,2968,2761,2022-02-21,
606,13,2430,2022-02-24,
607,784,645,2022-02-22,
608,2398,1365,2022-03-02,
609,820,1088,2022-03-02,
610,84,1625,2022-02-25,
611,2608,1127,2022-02-27,
612,2653,367,2022-02-24,
613,1206,2236,2022-02-28,
614,2608,1369,2022-02-26,
615,124,1982,2022-02-26,
616,1112,1821,2022-02-27,
617,1152,2495,2022-02-26,
618,2333,491,2022-02-23,
619,518,348,2022-03-02,
620,671,490,2022-02-27,
621,2702,1771,2022-02-27,
622,13,2903,2022-03-01,
623,422,2274,2022-02-22,
624,15,2098,2022-02-23,
625,233,2688,2022-03-02,
626,2929,345,2022-02-22,
627,1064,2078,2022-02-26,
628,2653,636,2022-02-23,
629,2009,874,2022-02-26,
630,2191,153,2022-02-22,
631,2567,1741,2022-02-24,
632,1972,1997,2022-02-23,
633,623,2425,2022-02-28,
634,583,1574,2022-03-02,
635,885,2103,2022-02-23,
636,666,491,2022-02-21,
637,1966,2114,2022-02-22,
638,657,1677,2022-02-25,
639,452,1469,2022-03-02,
640,6,1933,2022-02-24,
641,2401,1913,2022-02-21,
642,1308,1332,2022-03-01,
643,2273,803,2022-02-23,
644,1462,2702,2022-02-26,
645,1194,723,2022-02-28,
646,402,574,2022-02-24,
647,2516,291,2022-02-21,
648,1590,586,2022-03-02,
649,703,1981,2022-03-01,
650,2700,2349,2022-02-23,
651,394,374,2022-03-01,
652,1591,2430,2022-02-24,
653,2230,418,2022-02-23,
654,1600,2169,2022-02-28,
655,2437,1156,2022-03-01,
656,1521,96,2022-02-25,
657,896,623,2022-02-23,
658,194,874,2022-02-24,
659,2900,158,2022-02-26,
660,303,2822,2022-02-25,
661,1120,1210,2022-02-25,
662,1990,950,2022-02-22,
663,2295,2174,2022-03-02,
664,218,1181,2022-02-24,
665,673,1067,2022-02-24,
666,2120,853,2022-02-26,
667,1966,1319,2022-02-26,
668,647,2430,2022-02-22,
669,1768,1179,2022-02-24,
670,1350,1493,2022-02-24,
671,260,620,2022-02-27,
672,630,2416,2022-02-25,
673,1836,2103,2022-02-23,
674,618,57,2022-02-27,
675,2539,2341,2022-03-01,
676,564,2765,2022-03-02,
677,2762,2702,2022-03-02,
678,1132,1559,2022-02-24,
679,303,113,2022-02-23,
680,755,1508,2022-02-26,
681,687,1266,2022-02-23,
682,1923,1712,2022-03-01,
683,2571,1487,2022-02-21,
684,1611,2341,2022-02-22,
685,792,2719,2022-02-24,
686,2652,843,2022-02-26,
687,1493,1568,2022-02-21,
688,1768,1290,2022-02-27,
689,457,589,2022-02-25,
690,482,1292,2022-02-27,
691,2074,2394,2022-02-28,
692,1574,541,2022-02-22,
693,800,2998,2022-03-02,
694,1699,2355,2022-02-25,
695,1231,937,2022-02-23,
696,1179,1152,2022-02-23,
697,1568,613,2022-02-23,
698,801,366,2022-02-26,
699,1564,1147,2022-03-02,
700,253,1429,2022-02-23,
701,2394,2461,2022-02-22,
702,387,1366,2022-02-24,
703,2469,1303,2022-02-28,
704,2098,868,2022-02-27,
705,522,2103,2022-03-02,
706,1201,2413,2022-02-22,
707,2539,552,2022-03-01,
708,2122,2498,2022-02-26,
709,1836,703,2022-02-22,
710,1603,2787,2022-03-01,
711,2830,2170,2022-02-23,
712,218,2702,2022-02-26,
713,950,2161,2022-03-01,
714,1923,1874,2022-02-25,
715,2290,1074,2022-02-23,
716,892,2628,2022-03-01,
717,429,142,2022-02-26,
718,2953,814,2022-02-24,
719,84,2337,2022-02-27,
720,730,756,2022-02-28,
721,674,2944,2022-02-28,
722,1864,583,2022-02-28,
723,1808,843,2022-02-27,
724,2524,1244,2022-02-23,
725,1703,2109,2022-02-28,
726,791,1076,2022-02-24,
727,820,1582,2022-02-26,
728,207,2924,2022-02-21,
729,1067,1495,2022-02-25,
730,175,387,2022-02-21,
731,1686,1768,2022-02-28,
732,537,2735,2022-02-26,
733,1832,441,2022-02-24,
734,815,703,2022-03-01,
735,2605,1116,2022-02-22,
736,2848,2514,2022-02-27,
737,401,1642,2022-02-22,
738,2866,1821,2022-02-24,
739,564,2508,2022-02-28,
740,2446,584,2022-02-22,
741,653,1246,2022-03-01,
742,756,1049,2022-03-01,
743,2812,1224,2022-02-23,
744,463,1642,2022-03-01,
745,2301,2450,2022-02-26,
746,275,422,2022-02-26,
747,41,2868,2022-02-27,
748,2830,1701,2022-03-02,
749,584,144,2022-02-22,
750,2260,896,2022-03-01,
751,2303,2414,2022-02-21,
752,172,2859,2022-02-24,
753,291,70,2022-02-25,
754,755,1603,2022-03-01,
755,896,2623,2022-02-28,
756,348,1642,2022-03-01,
757,358,1566,2022-02-28,
758,275,2322,2022-02-23,
759,1386,1962,2022-02-26,
760,1277,2669,2022-02-22,
761,2230,1436,2022-02-27,
762,15,2363,2022-02-24,
763,574,2593,2022-02-27,
764,2859,354,2022-02-26,
765,565,1918,2022-02-22,
766,862,818,2022-03-01,
767,2734,2593,2022-02-27,
768,1125,990,2022-02-22,
769,2333,2363,2022-02-28,
770,457,802,2022-02-22,
771,1358,1067,2022-02-27,
772,2078,1663,2022-02-23,
773,1127,524,2022-02-28,
774,2472,2080,2022-02-24,
775,1436,2469,2022-02-24,
776,647,1015,2022-02-24,
777,2488,2605,2022-02-21,
778,2821,280,2022-02-27,
779,791,649,2022-03-01,
780,2710,1587,2022-02-23,
781,705,480,2022-02-27,
782,153,2495,2022-02-22,
783,1071,1591,2022-02-22,
784,305,1541,2022-03-01,
785,175,2295,2022-02-28,
786,1366,2573,2022-03-02,
787,589,1429,2022-02-23,
788,1744,1774,2022-02-27,
789,1039,303,2022-02-21,
790,2830,1332,2022-02-25,
791,547,1042,2022-02-22,
792,2098,874,2022-02-25,
793,805,2977,2022-02-25,
794,2710,86,2022-02-25,
795,2176,2190,2022-02-26,
796,1077,1591,2022-02-26,
797,1836,305,2022-02-24,
798,1071,277,2022-02-24,
799,886,2933,2022-03-02,
800,2508,899,2022-02-22,
801,1503,903,2022-03-01,
802,800,836,2022-02-26,
803,2174,1120,2022-02-28,
804,2628,1501,2022-02-26,
805,1508,267,2022-02-22,
806,1717,486,2022-02-22,
807,448,345,2022-03-01,
808,817,143,2022-02-22,
809,896,2924,2022-03-02,
810,1301,425,2022-02-21,
811,2877,1590,2022-03-01,
812,2928,2078,2022-02-21,
813,990,92,2022-02-27,
814,515,2571,2022-02-24,
815,2191,1287,2022-02-28,
816,1469,647,2022-02-26,
817,1282,1573,2022-02-25,
818,1934,2593,2022-03-01,
819,1469,2787,2022-02-27,
820,2290,963,2022-03-01,
821,237,488,2022-03-02,
822,937,1894,2022-02-27,
823,1382,674,2022-03-01,
824,2866,696,2022-03-01,
825,1600,873,2022-02-24,
826,2568,2038,2022-02-25,
827,2446,2608,2022-02-28,
828,70,2275,2022-02-28,
829,1922,1642,2022-02-26,
830,1642,553,2022-03-01,
831,1922,2498,2022-02-27,
832,1603,2296,2022-03-01,
833,2927,1501,2022-02-22,
834,2190,2300,2022-02-28,
835,2633,1125,2022-02-26,
836,820,1349,2022-02-23,
837,2700,874,2022-02-25,
838,818,2998,2022-02-24,
839,180,1901,2022-03-01,
840,571,2148,2022-02-24,
841,1508,2363,2022-02-26,
842,519,2823,2022-02-22,
843,2116,2443,2022-02-23,
844,2301,1922,2022-03-01,
845,1358,2174,2022-02-25,
846,2767,2244,2022-03-01,
847,216,2414,2022-02-22,
848,1997,491,2022-02-26,
849,2290,2244,2022-02-24,
850,770,1771,2022-02-28,
851,618,1971,2022-02-23,
852,215,2831,2022-02-22,
853,1403,2742,2022-02-21,
854,893,1287,2022-02-22,
855,925,144,2022-02-23,
856,979,1360,2022-02-28,
857,1703,723,2022-02-27,
858,547,291,2022-03-01,
859,420,2446,2022-02-25,
860,13,1074,2022-03-01,
861,1590,1287,2022-03-01,
862,1120,2987,2022-03-02,
863,769,220,2022-02-23,
864,2379,873,2022-02-23,
865,2689,1370,2022-02-28,
866,1219,2822,2022-02-22,
867,2847,2893,2022-03-02,
868,1642,374,2022-02-26,
869,144,2739,2022-02-24,
870,1822,488,2022-02-21,
871,2447,298,2022-03-01,
872,180,705,2022-03-01,
873,1703,623,2022-02-23,
874,305,429,2022-02-27,
875,1574,1804,2022-03-02,
876,2447,1181,2022-02-24,
877,366,96,2022-02-27,
878,1088,1077,2022-02-22,
879,1741,303,2022-02-28,
880,491,1262,2022-02-23,
881,804,2098,2022-02-27,
882,2171,1774,2022-02-25,
883,674,1808,2022-02-24,
884,2519,426,2022-03-02,
885,2710,564,2022-02-28,
886,515,1780,2022-02-25,
887,2425,2754,2022-02-23,
888,2574,741,2022-02-28,
889,476,2898,2022-03-02,
890,541,2237,2022-02-26,
891,2416,215,2022-02-22,
892,2855,2461,2022-02-21,
893,359,1363,2022-02-22,
894,172,1984,2022-03-02,
895,95,958,2022-02-26,
896,954,2578,2022-02-25,
897,755,2676,2022-02-22,
898,2065,849,2022-03-02,
899,2623,412,2022-02-28,
900,1690,2478,2022-03-02,
901,359,2847,2022-02-24,
902,1497,2237,2022-02-21,
903,1756,2604,2022-02-25,
904,445,2333,2022-02-26,
905,1487,2461,2022-03-02,
906,2574,516,2022-02-28,
907,334,2208,2022-02-23,
908,2622,2130,2022-02-26,
909,430,1832,2022-02-26,
910,1587,515,2022-02-22,
911,260,1429,2022-02-22,
912,1064,1628,2022-03-01,
